spark.default.parallelism,spark.storage.memoryFraction,spark.shuffle.memoryFraction,time
80,0.8,0.1,77.374
96,0.6,0.3,38.971
32,0.1,0.8,44.37
112,0.8,0.1,41.909
96,0.2,0.7,52.894
144,0.1,0.8,31.398
96,0.6,0.3,29.392
32,0.3,0.6,38.754
64,0.7,0.2,32.417
96,0.4,0.5,33.425
48,0.1,0.8,35.454
128,0.2,0.7,33.213
96,0.5,0.4,37.463
144,0.6,0.3,51.234
48,0.5,0.4,35.214
64,0.6,0.3,36.483
112,0.1,0.8,35.684
96,0.6,0.3,75.621
48,0.8,0.1,51.48
64,0.7,0.2,34.764
80,0.1,0.8,34.305
96,0.2,0.7,43.569
80,0.5,0.4,92.058
128,0.8,0.1,81.152
48,0.7,0.2,95.742
96,0.1,0.8,36.684
16,0.8,0.1,95.172
80,0.4,0.5,50.908
64,0.7,0.2,84.346
16,0.5,0.4,57.899
128,0.8,0.1,35.931
16,0.7,0.2,91.383
112,0.2,0.7,44.589
48,0.8,0.1,39.923
128,0.5,0.4,55.043
112,0.2,0.7,47.051
144,0.1,0.8,35.837
16,0.2,0.7,74.867
32,0.3,0.6,36.972
128,0.8,0.1,30.737
96,0.7,0.2,34.123
64,0.5,0.4,31.378
48,0.4,0.5,29.826
96,0.7,0.2,29.352
80,0.1,0.8,185.801
48,0.5,0.4,36.295
64,0.2,0.7,38.571
80,0.4,0.5,33.648
16,0.1,0.8,93.348
32,0.4,0.5,38.319
96,0.7,0.2,41.411
64,0.8,0.1,72.703
96,0.4,0.5,56.157
80,0.8,0.1,31.928
64,0.1,0.8,31.88
80,0.4,0.5,35.958
32,0.6,0.3,41.718
48,0.5,0.4,35.984
112,0.2,0.7,36.304
32,0.1,0.8,49.176
128,0.5,0.4,28.861
80,0.4,0.5,31.139
64,0.6,0.3,39.921
112,0.8,0.1,42.091
48,0.3,0.6,47.754
32,0.2,0.7,41.529
80,0.3,0.6,42.215
16,0.1,0.8,64.261
64,0.6,0.3,34.304
48,0.7,0.2,71.734
96,0.3,0.6,60.118
128,0.1,0.8,49.99
96,0.6,0.3,60.31
64,0.1,0.8,51.852
80,0.3,0.6,41.626
96,0.1,0.8,38.716
144,0.8,0.1,32.222
32,0.6,0.3,36.79
64,0.5,0.4,31.333
48,0.4,0.5,51.064
144,0.3,0.6,52.376
80,0.7,0.2,42.517
16,0.6,0.3,55.718
128,0.7,0.2,39.416
16,0.6,0.3,58.092
64,0.4,0.5,33.871
96,0.2,0.7,41.395
64,0.5,0.4,35.098
48,0.3,0.6,29.556
96,0.6,0.3,39.409
48,0.8,0.1,33.072
96,0.2,0.7,35.205
144,0.8,0.1,29.497
80,0.6,0.3,36.791
144,0.2,0.7,32.724
128,0.5,0.4,48.797
48,0.8,0.1,44.495
32,0.3,0.6,64.46
144,0.7,0.2,56.588
64,0.2,0.7,37.198
